"Track";"Album Name";"Artist";"Release Date";"ISRC";"All Time Rank";"Track Score";"Spotify Streams";"Spotify Playlist Count";"Spotify Playlist Reach";"Spotify Popularity";"YouTube Views";"YouTube Likes";"TikTok Posts";"TikTok Likes";"TikTok Views";"YouTube Playlist Reach";"Apple Music Playlist Count";"AirPlay Spins";"SiriusXM Spins";"Deezer Playlist Count";"Deezer Playlist Reach";"Amazon Playlist Count";"Pandora Streams";"Pandora Track Stations";"Soundcloud Streams";"Shazam Counts";"Explicit Track"
"SHEESH";"BABYMONS7ER";"BABYMONSTER";"2024-04-01";"KRA402400016";32;237.5;124893397;3479;25936342;82;359896095;4907193;212500;212500;390081328;38798822;36;2188;32;3;347997;26;130743;592;265670;191867;0
"Water";"Water";"Tyla";"2023-07-28";"USSM12305126";33;234.6;670376179;98450;150471020;83;265180930;2566846;2114363;2114363;3932956380;3031114430;225;486952;1215;180;19469488;188;40418532;27555;6049784;6447136;0
"Strangers";"Strangers";"Kenya Grace";"2023-09-01";"USWB12305048";34;233.5;750154960;139141;103879363;79;118208096;1495758;1031447;1031447;2231749390;1745168821;163;378114;856;113;16295286;112;20228317;5331;10938075;7477917;0
"A Bar Song (Tipsy)";"A Bar Song (Tipsy)";"Shaboozey";"2024-04-12";"USUYG1541249";37;226.4;311928522;25766;180237463;96;62694868;837616;0;0;378313942;243895569;149;0;141;58;26516005;146;21453034;30180;4482348;1707213;1
"Lose Control";"Lose Control";"Teddy Swims";"2023-06-23";"USWB12302315";38;224.1;775135157;88239;180617454;87;139180960;1504385;396560;396560;597513595;4016801205;215;605841;162;133;42675181;120;253538985;72429;5409388;10517831;0
"fukumean";"fukumean";"Gunna";"2023-06-15";"USAT22306575";39;221.1;759998727;188142;80392612;80;94699547;1222012;1237229;1237229;3281790327;140623676;123;265291;4003;40;2225409;88;64456799;20518;33130829;3945184;1
"Dance Monkey";"Dance Monkey";"Tones And I";"2019-05-10";"QZES71982312";40;214.5;3071214106;375201;64901153;71;2147483647;27240268;10342366;10342366;5861939942;2428166573;549;573733;169;584;5749770;121;373294159;844198;37430204;44842636;0
"BIRDS OF A FEATHER";"HIT ME HARD AND SOFT";"Billie Eilish";"2024-05-17";"USUM72401994";41;212.8;214237645;10871;202626837;92;11033725;251373;251200;251200;443104700;148058631;247;3400;8;67;11523335;125;840442;2592;1369981;285858;0
"Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe";"Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe";"sped up 8282";"2023-04-08";"KRA252300672";42;211.2;170970614;27827;5784546;41;22280037;334523;14348249;14348249;12196985599;0;2;672;0;4;35737;9;270610;3170;0;0;1
"I'm Good (Blue)";"I'm Good (Blue)";"David Guetta";"2022-08-26";"UKWLG2200055";43;209.6;1658229422;262248;239957538;83;466080689;4324989;728093;728093;1051836430;1425853925;285;935190;2487;207;6479623;168;139926990;31235;8007236;10973120;1
