"Track";"Album Name";"Artist";"Release Date";"ISRC";"All Time Rank";"Track Score";"Spotify Streams";"Spotify Playlist Count";"Spotify Playlist Reach";"Spotify Popularity";"YouTube Views";"YouTube Likes";"TikTok Posts";"TikTok Likes";"TikTok Views";"YouTube Playlist Reach";"Apple Music Playlist Count";"AirPlay Spins";"SiriusXM Spins";"Deezer Playlist Count";"Deezer Playlist Reach";"Amazon Playlist Count";"Pandora Streams";"Pandora Track Stations";"Soundcloud Streams";"Shazam Counts";"Explicit Track"
"People";"People - Single";"Libianca";"2022-12-05";"QZTB52268087";141;127.8;631955547;121823;45030006;74;305998382;2647341;3168854;3168854;3233505931;704906130;145;122781;202;74;1217657;54;9017480;11289;8026553;6121126;1
"I Don't Wanna Wait";"I Don't Wanna Wait";"David Guetta";"2024-04-05";"UKWLG2400013";144;126.9;114574238;10564;180987712;84;9134225;124326;299000;299000;79796400;3117914;87;86814;159;128;35099280;133;4503872;442;422718;0;0
"La Bachata";"La Bachata";"Manuel Turizo";"2022-05-26";"QZDYA1800087";146;126.2;1721045197;156941;97122096;81;798827877;3379928;1614275;1614275;2596777974;420585933;142;152522;1161;97;8709032;133;47203290;19769;0;4817885;0
"Peaches (feat. Daniel Caesar & Giveon)";"Justice";"Justin Bieber";"2021-03-19";"USUM72102636";148;125.2;1612286123;282719;97390961;74;1019256266;10280320;1404274;1404274;4702037810;2889452237;348;569287;789;342;2587713;90;92111798;90598;0;7848760;1
"Don't Start Now";"Don't Start Now";"Dua Lipa";"2019-10-31";"GBAHT1901121";149;124.6;2607121959;270230;143953432;78;1201600884;10239198;4725570;4725570;3535661993;2374637534;581;999941;954;632;4254903;118;313923242;99949;0;13421701;0
"Lucid Dreams";"Lucid Dreams";"Juice WRLD";"2018-05-04";"USUG11800685";150;123.9;2548389305;339306;75858140;78;987143411;9384427;1900813;1900813;338071383;274498079;153;69562;132;54;442640;36;259400789;552552;257459352;9308937;1
"PROVENZA";"PROVENZA";"KAROL G";"2022-04-22";"USUM72205906";151;123.8;1185929926;103026;64847502;76;1229843060;5870729;1300337;1300337;2829294043;763687717;115;130158;688;75;7349218;90;92136339;29371;0;3397861;0
"WAP (feat. Megan Thee Stallion)";"WAP (feat. Megan Thee Stallion)";"Cardi B";"2020-08-07";"USAT22005111";152;123.4;1325725696;171255;53040559;72;1329826741;15965491;8470921;8470921;9539547626;181452145;222;91249;306;94;249116;50;184950173;397731;0;4618794;1
"SPOT!";"SPOT!";"ZICO";"2024-04-26";"USA2P2421932";153;122.8;77757035;3407;35428519;81;100148771;2531168;99900;99900;366905484;24981456;27;1861;51;2;151901;20;63300;98;0;173263;0
"Family Matters";"Family Matters";"Drake";"2024-05-03";"USUG12402984";154;122.7;72335127;8696;36774031;86;41492122;1034563;0;0;0;166330702;38;1488;0;16;1504365;60;3065493;2302;2401049;283217;1
"Seven (feat. Latto) (Explicit Ver.)";"Seven (feat. Latto)";"Jung Kook";"2023-07-14";"USA2P2330093";156;122.4;1673557134;54950;91343768;80;397523735;10125293;341522;341522;761760624;1800517153;86;23714;861;54;5286388;56;6442882;4352;0;2310409;1
"Last Night";"3 Songs At A Time Sampler";"Morgan Wallen";"2023-01-31";"USUG12300802";157;121.9;922010059;107189;61174155;79;141852059;567295;285414;285414;811685466;182412108;106;18364;1846;7;33712;38;307115852;200650;13022144;2665347;1
"Too Sweet";"Unreal Unearth: Unheard";"Hozier";"2024-03-22";"IEACJ2300335";158;121.2;532012790;22396;130752527;85;13119247;218957;0;0;0;0;235;6952;0;85;25307005;108;0;0;119813;2580089;0
"Bad Habits";"#NAME?";"Ed Sheeran";"2020-01-01";"GBAHS2100318";159;120.8;1754311538;271758;62218811;74;958790883;7686994;1036355;1036355;2658904267;3526952174;454;1347725;1035;352;7318680;136;269834154;88143;17144484;15886717;0
"QLONA";"MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA";"KAROL G";"2023-08-10";"USUG12305257";160;120.7;850810162;56104;79334561;82;258553384;1174349;1167300;1167300;717259721;590681204;72;39951;4;57;7146260;83;32210732;12492;0;1537093;1
"Leave The Door Open";"Leave The Door Open";"Bruno Mars";"2021-03-05";"USAT22100906";161;120.1;1312168384;248793;50068571;75;993324548;9537455;1503567;1503567;3350704343;2421128623;308;557867;309;120;1553392;103;149304590;91366;0;10288388;0
"good 4 u";"good 4 u";"Olivia Rodrigo";"2021-05-14";"USUG12101245";163;117.8;2167768056;309421;72787213;79;773591065;11098007;1893481;1893481;8186754429;2285796743;355;4835;1283;98;1610293;102;119030447;170032;19263268;0;1
"bad guy";"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?";"Billie Eilish";"2019-03-29";"USUM71900764";164;117.7;2516804300;296739;113315017;76;1779243626;26239833;3774645;3774645;1409756969;2066888119;432;353076;1024;258;3123258;174;229833113;534958;0;18994040;0
"Seï¿½ï¿½o";"Shawn Mendes (Deluxe)";"Shawn Mendes";"2018-05-25";"USUM71911283";165;117.6;2738293818;251033;108433327;74;2147483647;26919886;5815851;5815851;1859977153;2305437038;380;531893;378;570;2693006;89;337815285;426555;0;15254141;0
"DESPECHï¿";"DESPECHï¿";"ROSALï¿½";"2022-07-28";"USSM12207207";166;116.9;1003487432;126402;88024543;73;621874255;2859234;2409247;2409247;6208638113;672233681;152;175614;1077;105;6388819;97;40988020;6129;0;3205234;1
"ROCKSTAR (feat. Roddy Ricch)";"BLAME IT ON BABY";"DaBaby";"2020-04-17";"USUM72007941";167;116.7;1638836101;272933;50425049;70;1170441361;13667470;5241838;5241838;3869815694;201859518;216;298661;62;98;1699879;47;245618280;272002;0;7646337;1
"Eyes Closed";"Eyes Closed (Piano Version)";"Ed Sheeran";"2023-03-23";"GBAHS2201304";168;116.6;372423476;44730;21933393;71;131308671;1074684;1102985;1102985;830123390;961201576;132;644972;287;32;1018314;68;40613139;6969;0;2886987;0
"I Remember Everything (feat. Kacey Musgraves)";"I Remember Everything (feat. Kacey Musgraves)";"Zach Bryan";"2023-08-24";"USWB12304903";169;116.5;630373315;70400;105320547;84;50938569;246731;215433;215433;586454750;207483261;95;83414;35;47;9094602;112;147144967;33058;5597165;1673932;0
"Circles";"Circles";"Post Malone";"2019-08-30";"USUM71915699";170;116.0;2481391466;332437;124491320;80;1116323669;8490012;83111;83111;273522601;841624305;355;1015731;413;311;1603280;69;448494186;212174;0;13634519;0
"EL AMOR DE SU VIDA";"EL AMOR DE SU VIDA";"Grupo Frontera";"2023-08-03";"DGA062382895";171;115.9;474590289;24891;25915889;78;577930708;1569516;136500;136500;509287649;1484713132;27;15783;215;22;2762020;27;44676754;9094;774895;1173817;0
"About Damn Time";"About Damn Time";"Lizzo";"2022-04-14";"USAT22202139";172;115.6;847025688;104052;47808065;66;106024874;1080393;3030761;3030761;15665483220;22274346;215;1024138;2826;143;1456203;4;0;0;0;5445721;1
"Closer";"Closer";"The Chainsmokers";"2016-07-29";"USQX91601347";173;114.6;2880536961;285381;129399627;80;2147483647;22091228;1103074;1103074;514053404;467800052;385;316965;467;284;838570;78;819509308;739296;0;16185008;0
"FLOWER";"ME";"JISOO";"2023-03-31";"KRA402300002";174;114.3;440364356;26107;15314737;70;525156884;10820829;3411209;3411209;6724997940;68869541;33;11830;92;6;26844;35;1335366;3263;0;1058579;0
"PERRO NEGRO";"nadie sabe lo que va a pasar maï¿½ï¿";"Bad Bunny";"2023-10-13";"QMFME2364199";175;114.2;689181455;61138;90492257;83;183381482;738123;213300;213300;487440417;546833520;67;32507;175;51;13729294;44;14039085;3684;2473108;930098;1
"Havana (feat. Young Thug)";"Havana";"Camila Cabello";"2017-08-03";"USSM11706905";177;112.8;2072182782;194332;86159672;75;2147483647;32333846;1314091;1314091;546650805;2137655536;342;175317;563;541;1593590;95;455553499;772600;0;16095913;0
"LUNA";"FERXXOCALIPSIS";"Feid";"2023-12-01";"USUM72318216";178;112.6;606124553;40628;139802900;86;166363445;1019744;14519;14519;29601244;476273095;80;51631;170;64;14011480;31;1550124;1179;0;1704574;0
"I Like You (A Happier Song) (with Doja Cat)";"Twelve Carat Toothache";"Post Malone";"2022-06-03";"USUM72208023";179;112.5;827950825;118965;64661540;73;299001099;2751490;172228;172228;1359837461;3624466116;83;761996;2175;43;3276564;70;150508004;31988;6459716;3384275;1
"Bones";"Bones";"Imagine Dragons";"2022-03-11";"USUM72201759";180;112.0;1227475431;180053;70861210;78;584854654;6691488;341199;341199;2255843288;3064084870;94;305868;1789;47;1718874;67;124506820;66190;0;7031981;0
"Segï¿½ï¿½n Qu";"Segï¿½ï¿½n Qu";"Maluma";"2023-08-17";"USSD12300400";182;111.8;571366508;32236;42828677;79;475200526;1369288;0;0;0;1602673476;50;38691;423;60;10199675;29;35912217;8715;46646;1703294;1
"golden hour";"golden hour";"JVKE";"2022-07-15";"GBKPL2204171";183;111.4;1126986320;200887;45885823;73;293553015;5388022;461623;461623;2305840359;2451087344;77;148360;719;22;379311;35;32611885;64225;14112455;3897680;0
"Levitating (feat. DaBaby)";"Future Nostalgia";"Dua Lipa";"2020-03-27";"GBAHT2000942";184;111.3;2074721986;255296;109442317;77;1665434424;15432964;858364;858364;2649555956;4124133645;388;476547;659;250;2098761;46;188728577;98317;0;7948325;0
"Get It Sexyy";"Get It Sexyy";"Sexyy Red";"2024-03-15";"QZSYP2454435";185;111.1;89362910;7377;70714216;84;37676729;525264;361700;361700;476545000;126493852;52;52534;976;4;57534;58;10234988;14251;2263132;514293;1
"This Wish - From ""Wish""""""";"This Wish (From ""Wish"""")""";"Ariana DeBose";"2023-10-18";"USWD12328242";186;110.9;26674909;2673;8562091;19;7863539;84565;4304279;4304279;709276580;300010;36;214;0;4;81296;20;1639744;2942;0;87704;0
"Ojitos Lindos";"Un Verano Sin Ti";"Bad Bunny";"2022-05-06";"QM6MZ2214888";188;110.7;1421763497;152592;62313059;78;945857087;5587691;179400;179400;225142753;171156518;91;72953;191;42;6938988;49;57148186;17651;0;3087489;0
"Life Is Good (feat. Drake)";"Life Is Good (feat. Drake)";"Future";"2020-01-10";"USSM11914962";189;110.2;1237874594;276882;51153940;67;2147483647;12334565;584648;584648;964755757;430690809;187;7602;47;95;487631;32;222732085;88462;0;5329382;1
"Escapism.";"Escapism. / The Thrill Is Gone.";"RAYE";"2022-10-12";"QMDA62217995";190;110.1;804925777;128247;62532855;75;175393116;1729347;935169;935169;3209982240;841611064;138;400246;65;65;8982560;66;21279325;11614;9065143;6548714;1
"Stargazing";"Stargazing";"Myles Smith";"2024-05-10";"GBARL2400510";191;109.8;106599323;9406;164949597;87;10331471;167936;0;0;4700000;38232470;120;11172;14;93;14817504;109;3667355;548;990796;0;0
"Jimmy Cooks (feat. 21 Savage)";"Honestly, Nevermind";"Drake";"2022-06-17";"USUG12204897";192;109.7;971473231;239671;77479207;78;198796965;2003253;803500;803500;926300276;327806846;110;1041;641;18;314003;57;50899547;48037;24117364;3142892;1
"What You Know Bout Love";"Shoot For The Stars Aim For The Moon";"Pop Smoke";"2020-07-03";"USUM72013339";193;109.5;1125681368;251023;32574699;72;306628096;3322075;5487112;5487112;2775640343;258709304;119;372838;744;21;94686;22;224742683;79225;70901053;3908069;1
"Memories";"Memories";"Maroon 5";"2019-09-20";"USUM71913350";194;109.3;2011072164;222804;49920599;77;1290292327;11720744;2377898;2377898;1458416059;2403585054;268;765565;403;445;1033541;50;403824864;253642;0;14241952;0
"Classy 101";"Classy 101";"Feid";"2023-03-31";"USUM72304895";195;109.1;872148396;90726;70485920;78;477047694;1887642;459540;459540;1113541743;1850185458;94;46835;186;50;12249404;55;11049774;3399;0;1625704;1
"Whatever";"Whatever";"Kygo";"2024-01-19";"USRC12302637";196;109.0;222354971;17551;159961203;83;45439562;522558;0;0;0;1880782257;111;191358;278;171;32320584;109;10225886;568;0;1421900;0
"Whatever She Wants";"Whatever She Wants";"Bryson Tiller";"2024-02-13";"USRC12400299";197;108.4;207093873;23181;114051028;87;19787472;254004;67400;67400;298300000;320540886;61;5477;577;31;1483573;65;6895257;6101;13917600;0;1
"Vois sur ton chemin - Techno Mix";"Vois sur ton chemin (Techno Mix)";"BENNETT";"2023-08-04";"DEA622301801";198;107.8;361517395;119783;95312340;80;37192341;491577;13334;13334;35999853;3117914;56;56118;0;52;4459149;23;0;0;5166756;4372188;0
"Without Me";"Without Me";"Halsey";"2018-10-04";"USUM71813499";200;107.4;2042792456;198888;69311277;75;2018089906;20528541;3897257;3897257;2216715741;2352917415;180;320792;300;69;646681;89;562568504;360183;24711739;14816076;1
"Shallow";"Shallow";"Lady Gaga";"2018-09-27";"USUM71813192";204;106.9;2447973078;221822;90174192;78;2147483647;15274815;52698;52698;168789459;2310840501;261;228874;135;158;1551217;95;387105091;651760;1196386;153863;0
"Thunder";"Thunder";"Imagine Dragons";"2017-04-27";"USUM71704167";203;106.9;2384768901;244951;88329475;79;2147483647;16780231;1839173;1839173;906537912;222980374;225;273249;509;226;1148532;43;688060560;1104391;0;13844050;0
"Rush";"Rush";"Ayra Starr";"2022-09-16";"NGA3B2216004";205;106.4;371886608;98009;19411516;67;361174452;1904397;3035139;3035139;1454848289;269311214;162;85871;230;47;2772886;67;10681624;3972;9245741;8870769;0
"abcdefu";"abcdefu";"GAYLE";"2021-08-13";"USAT22103652";206;106.2;1128273165;193857;61311826;70;499895662;6801671;2167302;2167302;12414681151;3366280433;209;470778;1509;79;4946332;45;154675499;105068;0;7565502;1
"Buga";"Buga";"Kizz Daniel";"2022-05-03";"USUYG1425645";208;105.8;86516910;30835;3440925;57;266679537;1536035;10289181;10289181;1872751535;29657775;51;13698;0;9;580760;19;7380862;2596;0;3876226;0
"Bad Habit";"Bad Habit";"Steve Lacy";"2022-06-29";"USRC12201440";207;105.8;1087938471;220515;63054597;73;147472695;2050299;902163;902163;2783442788;2111662944;132;2962;1461;69;3999785;58;13639179;45788;26683563;4118983;1
"MONEY";"LALISA";"LISA";"2021-09-10";"KRA402100099";210;105.5;1189335848;103236;33637835;73;1323718887;20328622;3707867;3707867;12516703531;1203702704;54;29685;461;29;484446;25;4765438;18921;0;3720737;1
"Columbia";"Columbia";"Quevedo";"2023-07-07";"BK4DA2310533";209;105.5;721002940;84161;56226278;79;266411536;1343262;372100;372100;752868970;535715103;47;51158;44;39;1537049;64;260176;1269;120842;1148958;0
"LADY GAGA";"LADY GAGA";"Peso Pluma";"2023-06-22";"QM7282306246";212;105.2;684204777;48370;25130304;78;362779953;1617493;777100;777100;1207597707;297822969;51;4811;27;22;13901598;32;21933646;13520;5928532;1567605;1
"Woman";"Planet Her";"Doja Cat";"2021-06-25";"USRC12101532";211;105.2;1606950381;217443;95985096;78;641326002;7454749;2148350;2148350;5944657895;3148985028;217;414829;1849;84;3363038;42;64368314;44396;0;5907933;1
"CUFF IT";"RENAISSANCE";"Beyoncï¿";"2022-07-29";"USSM12206232";213;104.9;795960535;100204;68659216;73;176996169;1606296;2762888;2762888;11215597325;251341543;182;481547;818;108;3025424;142;41249326;32516;0;3861203;1
"KING KONG";"KING KONG";"TREASURE";"2024-05-28";"KRA402400030";214;104.5;8078265;207;12311489;68;44927750;931230;0;0;0;0;10;70;0;5;572;25;6554;4;0;12404;0
"How You Like That";"How You Like That";"BLACKPINK";"2020-06-25";"KRA402000111";215;104.5;1033109188;82170;21177170;68;1584676582;29210301;10007464;10007464;7988463856;328047537;96;36043;37;34;130559;46;8108765;42199;0;3461123;0
"Nasty";"Nasty";"Tinashe";"2024-04-12";"USLD91757578";217;104.4;31612906;3887;106475497;76;6277949;171470;535464;535464;1051026401;480;38;1638;13;3;153459;69;154795;1095;3832811;336779;0
"Superhero (Heroes & Villains)";"HEROES & VILLAINS";"Metro Boomin";"2022-12-02";"USUG12208783";218;104.4;706356280;166277;62975073;77;172653099;1750863;32432;32432;108461504;205280243;56;72856;331;13;1040628;41;27896080;16722;22121803;2363066;1
"Panda";"Panda";"Desiigner";"2016-02-26";"USUM71601094";219;104.2;1181348550;170002;34000497;62;2147483647;22334292;3823774;3823774;283835852;190757316;245;22143;113;63;559832;14;375337428;1442436;212661473;10372624;1
"Tattoo";"Tattoo";"Loreen";"2023-02-25";"SEUM72201638";221;103.9;518846340;83033;48268736;77;348331280;3205077;236349;236349;718955243;800667085;113;216701;0;66;2861624;54;334813;3599;0;7777679;0
"Kiss Me More (feat. SZA)";"Kiss Me More (feat. SZA)";"Doja Cat";"2021-04-09";"USRC12100543";222;103.4;1823871908;262313;116916147;76;307855103;2540592;2074944;2074944;8035914098;2053577;470;551084;650;129;1850223;98;100039259;54999;0;9556378;1
"What It Is (Block Boy) (with Kodak Black)";"What It Is (Versions)";"Doechii";"2023-03-17";"USUG12301757";223;103.3;102772879;29487;4775168;61;65934972;760669;3308739;3308739;847338969;2863864;29;364224;125;7;265913;32;16502733;8732;0;4072292;1
"Illusion";"Illusion";"Dua Lipa";"2024-04-11";"GBAHT2400114";225;103.1;108501771;7430;117576704;12;3947610;60459;3584;3584;38200;165475383;113;90842;66;74;4720248;75;5866019;522;0;437667;1
"drivers license";"drivers license";"Olivia Rodrigo";"2021-01-08";"USUG12004749";226;102.9;2184754018;250778;70173770;79;984811734;18682671;1365848;1365848;3781894216;642666612;347;4173;272;214;1182092;72;77733001;230402;0;11006064;1
"Used To Be Young";"Endless Summer Vacation";"Miley Cyrus";"2023-08-18";"USSM12306461";227;102.4;205468104;30639;39407660;69;61624959;1364492;67350;67350;503074793;1819751244;97;419595;266;64;1571733;62;55443800;10442;111534;1999859;0
"Cupid - Twin Ver.";"The Beginning: Cupid - Single";"FIFTY FIFTY";"2023-02-24";"KSA012239181";229;102.3;861388470;103040;37365896;48;15219067;176594;2107181;2107181;4388576830;0;110;152024;624;34;336049;77;21156145;21450;0;5114752;0
"How Sweet";"How Sweet";"NewJeans";"2024-05-24";"USA2P2414843";228;102.3;33595707;1940;36883184;79;40327759;965652;0;0;0;164750613;58;734;2;8;835757;62;63815;100;114956;44878;0
"Players";"Players";"Coi Leray";"2022-11-30";"USUM72222387";230;101.8;465588517;91658;60607887;67;109781672;1706148;1456347;1456347;4784803362;383354491;110;453212;7098;42;843815;63;37137946;16871;0;5620077;1
"rockstar (feat. 21 Savage)";"rockstar";"Post Malone";"2017-09-15";"USUM71710087";231;101.8;2960046642;352745;82442565;77;2147483647;23334015;196242;196242;456931528;370252952;235;149051;393;122;715708;47;608645169;632152;0;19166675;1
"Con Calma";"Con Calma";"Daddy Yankee";"2019-01-24";"US2BU1900125";236;101.4;1353028938;160122;52701166;73;2147483647;16913257;1190870;1190870;319615777;709817334;184;93382;363;87;1544771;46;136354917;69412;0;13340067;0
"Here With Me";"Here With Me";"d4vd";"2022-07-20";"QZMEM2209263";234;101.4;1042311849;154178;58833842;80;256736243;2649848;2321933;2321933;3656967030;313752369;79;18211;111;48;636981;41;4556490;10111;15609794;3315939;0
"Favorite Song";"Favorite Song";"Toosii";"2023-02-17";"USUM72301797";235;101.4;186579651;45668;6252506;62;231699320;1670867;249537;249537;117325107;533205544;43;200850;717;4;290227;9;111316408;71027;25797478;2561322;0
"Si No Quieres No";"Si No Quieres No - Single";"Luis R Conriquez";"2024-03-09";"US3DF2417042";233;101.4;158131138;5423;71590238;85;135893150;889014;142300;142300;147200;134369232;34;8;3;8;2319237;15;5439215;3601;0;833928;0
"MONTERO (Call Me By Your Name)";"MONTERO (Call Me By Your Name)";"Lil Nas X";"2021-03-26";"USSM12100531";238;100.8;1902241314;316054;50751390;70;274582854;3603644;2297386;2297386;7655286423;3417613;310;262285;2026;112;2516760;80;72087250;72155;0;10553717;1
"Si No Estï¿½";"Si No Estï¿½ï¿½s - Si";"iï¿½ï¿½igo quin";"2022-09-22";"TCAGM2208561";241;100.1;665716137;97057;33252792;80;358206246;2896698;2900087;2900087;2653383273;862779648;33;77764;119;51;27583086;60;202795;1067;1432443;5502998;0
"Glimpse of Us";"Glimpse of Us";"Joji";"2022-06-10";"USWB12201789";242;99.8;1262308912;234936;83890841;74;66246839;2067331;865354;865354;8988453878;4898615770;97;116337;620;40;2380981;45;9562991;17436;12895440;4350230;0
"Watermelon Sugar";"Watermelon Sugar";"Harry Styles";"2019-11-17";"USSM11912587";243;99.7;2708151499;298135;159003869;82;872052223;11269126;1375118;1375118;2738127473;2170262684;554;647363;914;557;4404589;101;133633509;253839;0;9612968;0
"Corazï¿½ï¿½n de Pi";"Corazï¿½ï¿½n de Piedra - Si";"Xavi";"2024-03-23";"USA2P2414894";244;98.8;172164034;5517;48983734;82;117450205;1103003;0;0;0;135952492;11;1879;0;7;2124457;16;9152713;1759;1136588;418366;0
"Praise Jah In The Moonlight";"Praise Jah In the Moonlight - Single";"YG Marley";"2023-12-27";"CH7811111177";245;98.5;298853393;50137;43508958;70;112961806;2336117;0;0;928812348;366430788;63;4;6;43;5691935;43;2135934;8861;0;0;1
"WHERE SHE GOES";"WHERE SHE GOES";"Bad Bunny";"2023-05-18";"QM6P42334528";246;98.4;717849037;98440;37797217;72;217687654;1929598;308670;308670;808518802;47337825;126;57673;125;35;1416698;41;0;0;4037512;2076698;1
"Yandel 150";"Yandel 150";"Yandel";"2022-12-20";"QMFMF2215173";247;98.1;837576264;102545;38825844;70;472335529;1511715;632917;632917;631781362;443395467;60;65694;29;39;5582630;63;26717443;8054;0;2660197;1
"THATS WHAT I WANT";"MONTERO";"Lil Nas X";"2021-09-17";"USSM12105732";248;98.0;1062095453;165197;75503476;72;194928107;3281325;1174669;1174669;3501946982;3618055498;156;830038;2344;83;2949606;46;54997089;27977;12581843;5957065;1
"Todo De Ti";"Todo De Ti";"Rauw Alejandro";"2021-05-20";"USSD12100202";249;98.0;1339352060;188874;76063128;75;873449363;6108611;3247015;3247015;4445597088;1866730745;208;102968;295;68;4468373;79;58740730;23062;0;5640680;1
"Chemical";"Chemical";"Post Malone";"2023-04-14";"USUM72305205";250;97.6;503574147;79679;43648353;75;90349145;902237;20078;20078;134469226;476594485;94;369794;678;35;564291;45;41533233;7841;3201843;2334089;1
"See You Again (feat. Charlie Puth)";"See You Again (feat. Charlie Puth)";"Wiz Khalifa";"2015-01-01";"USAT21703595";251;97.6;1891920348;159571;73641738;78;2147483647;43663933;2196129;2196129;3455170110;602157439;137;0;5;8;16367;6;0;0;0;22021769;0
"Drip Too Hard (Lil Baby & Gunna)";"Drip Too Hard";"Lil Baby";"2018-09-12";"USUG11801811";252;97.5;1486929795;266128;52476635;76;637733433;4719266;618523;618523;523849646;34010447;147;52910;581;48;263627;13;296071712;214953;221209258;4911610;1
"Uptown Funk";"Full Circle: The Live Anthology";"Mark Ronson";"2011-11-20";"GBARL1401524";254;97.1;1993030264;256764;149909699;77;2147483647;24960395;274381;274381;1268235679;1997821697;507;160982;366;308;2956482;137;994708599;2280901;0;23508115;1
"love nwantiti (ah ah ah)";"CKay The First";"CKay";"2019-08-30";"QMEU31910213";256;96.9;853451422;172458;43607688;71;1132006963;25943716;12330900;12330900;23933379729;35766668;77;189840;2726;51;1474677;5;31447967;31569;0;3489217;1
"Mi Gente";"Mi Gente";"J Balvin";"2017-06-30";"FR22F1701790";257;96.4;1478442472;189504;45240294;69;2147483647;22147063;163477;163477;1018060369;398243753;291;45875;0;98;937524;94;334219832;312657;0;19858741;0
"Late Night Talking";"Harry's House";"Harry Styles";"2022-05-20";"USSM12200610";258;96.4;959639297;108806;62563751;76;151113156;2809492;101923;101923;580526441;3350044035;153;837037;2290;96;9426291;50;68783337;10636;0;4053289;0
"Miss You";"Miss You";"Oliver Tree";"2022-08-05";"USAT22211992";261;96.2;631378937;165883;38563849;51;32628348;615240;1905732;1905732;5776425361;13558530;75;152103;1;49;893762;19;0;0;16382616;7602822;1
"Dakiti";"Dakiti";"Bad Bunny";"2020-01-01";"QMFME2004132";262;96.1;1977947460;245685;56430031;72;1861597184;10999677;21703;21703;21573356;724908300;265;202804;241;97;3921489;72;152205131;46748;0;6091496;1
"Starboy";"Starboy";"The Weeknd";"2016-09-22";"USUG11600976";265;95.7;3291262413;366133;98022646;84;2147483647;14968547;262780;262780;375498232;218584786;341;68441;148;118;875683;67;331295154;418888;23612071;15648166;1
"Sorry";"Sorry";"Justin Bieber";"2015-10-23";"USUM71516760";264;95.7;2089476497;179545;89286647;78;2147483647;22464625;2463600;2463600;376376728;1959373484;401;237066;402;161;1631997;85;420093148;519614;475010;9657077;0
"Calling My Phone";"Calling My Phone";"Lil Tjay";"2021-02-12";"USSM12100388";263;95.7;777064903;213153;29437172;71;482028631;5431785;1378861;1378861;1411545704;326289844;118;147120;117;33;263058;33;105932632;53956;69864802;4012749;1
"Pink Venom";"Pink Venom";"BLACKPINK";"2022-08-19";"KRA402200017";266;95.6;736469450;48251;22817940;68;868589823;16834955;1833169;1833169;5828265172;3169887749;43;47080;406;20;202141;40;6401599;10275;0;1547563;0
"I Can Do It With a Broken Heart";"THE TORTURED POETS DEPARTMENT";"Taylor Swift";"2024-04-18";"USUG12401040";267;95.0;250430303;7079;134357870;84;16747466;251549;148000;148000;411722900;45283900;72;6243;2;37;8927842;76;5771611;11920;0;188022;1
"death bed (coffee for your head)";"Some Boring, Love Stories, Pt. 2";"Powfu";"2019-02-09";"USSM12000925";268;94.8;1656385770;283938;62191957;74;1135382823;15066754;7578918;7578918;5007036875;348834936;219;200884;305;119;6994461;29;214867165;150801;0;10905647;0
"Too Many Nights (feat. Don Toliver & with Future)";"HEROES & VILLAINS";"Metro Boomin";"2022-12-02";"USUG12208784";269;94.5;682837690;155771;28629209;80;191823612;1853827;41044;41044;185584934;201674659;56;2067;48;4;5523;12;2323771;3396;18237169;3246804;1
"MELTDOWN (feat. Drake)";"MELTDOWN (feat. Drake)";"Travis Scott";"2023-07-27";"USSM12305021";270;94.3;347647880;106908;29964622;74;30685665;405870;19100;19100;53065653;174680696;57;53527;13;23;327684;49;12478966;3216;9173465;861189;1
"Moscow Mule";"Un Verano Sin Ti";"Bad Bunny";"2022-05-06";"QM6MZ2214875";272;94.1;1108031580;121256;44739826;77;765780154;4700638;222100;222100;940630746;719730500;104;74052;113;30;7198424;58;41077827;11906;9615729;1644044;1
"Something Just Like This";"Something Just Like This";"The Chainsmokers";"2017-02-22";"USQX91700278";273;94.0;2596644721;278237;128709855;82;2147483647;15242846;350848;350848;631258708;277516825;315;409911;0;420;1634441;108;588568899;197928;0;16040973;0
"7 rings";"7 rings";"Ariana Grande";"2019-01-18";"USUM71900110";274;93.9;2262490403;179865;89518199;77;1903198886;22206277;3040090;3040090;2620954252;2185559044;220;176589;945;87;1044537;76;301142482;409686;0;7983512;1
"Moonlight";"Moonlight";"Kali Uchis";"2023-02-24";"USUM72219486";275;93.1;701558859;110539;46729655;74;209195939;2284142;594413;594413;1114531877;31989285;67;15726;126;43;1632541;44;3448723;9386;8993848;3204314;0
"Savage Love (Laxed - Siren Beat)";"Savage Love (Laxed - Siren Beat)";"Jawsh 685";"2020-06-11";"USSM12003798";276;93.1;1118038333;142905;27025973;67;481447573;3636839;10104238;10104238;4530095073;0;198;394564;200;209;2246210;10;0;0;0;11067994;1
"God's Plan";"Diplomatic Immunity";"Drake";"2018-01-20";"USCM51800004";278;92.9;2529948475;313741;79266167;77;2040639375;19912225;640874;640874;634177218;254153311;226;14465;442;103;898454;76;527043451;707727;0;9512236;1
"La Vï¿½ï¿½c";"La Vï¿½ï¿½c";"Xavi";"2023-08-19";"USA2P2339944";280;92.0;521116293;24734;22828160;81;427625497;2560068;33444;33444;107781205;1392579416;18;3852;82;20;14503583;22;10154861;13336;0;988007;1
"MY EYES";"UTOPIA";"Travis Scott";"2023-07-28";"USSM12305007";281;91.9;403132906;103255;13549357;78;42319491;564712;8436;8436;139973656;2150;37;417;0;12;403386;6;517355;3385;10105167;1911147;1
